Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
12,49,0.546044465,0.272750916,0.181204619
12,50,0.616203497,0.250901883,0.13289462
12,51,0.499216322,0.326893163,0.173890515
12,52,0.223838853,0.442970719,0.333190428
12,53,0.181847863,0.485093643,0.333058494
12,54,0.118449095,0.534215772,0.347335133
12,55,0.086760596,0.571656297,0.341583108
12,56,0.050584785,0.572987797,0.376427418
12,57,0.07497685,0.607257366,0.317765784
12,58,0.108792269,0.612098858,0.279108873
12,59,0.122107285,0.596690219,0.281202497
12,60,0.16252758,0.568844948,0.268627473
12,61,0.238591571,0.517726685,0.243681744
12,62,0.303755828,0.455201117,0.241043055
12,63,0.259511445,0.432749971,0.307738584
12,64,0.250224899,0.422906249,0.326868853
12,65,0.260996806,0.421335362,0.317667833
12,66,0.23657786,0.429423197,0.333998943
13,46,0.343545408,0.292149263,0.36430533
13,47,0.76372511,0.141250986,0.095023904
13,48,0.701559613,0.186019478,0.112420908
13,49,0.636728164,0.217435431,0.145836405
13,50,0.661574118,0.216836309,0.121589573
13,51,0.533930023,0.296610673,0.169459304
13,52,0.252636131,0.421269345,0.326094524
13,53,0.207252245,0.468152839,0.324594916
13,54,0.134184802,0.515493936,0.350321261
13,55,0.096805157,0.559488924,0.343705919
13,56,0.087124409,0.579198326,0.333677265
13,57,0.131273725,0.614217715,0.25450856
13,58,0.141163779,0.625959482,0.23287674
13,59,0.141806463,0.614803187,0.243390351
13,60,0.181483286,0.581110145,0.23740657
13,61,0.253896835,0.533575725,0.21252744
13,62,0.312607412,0.481650709,0.205741879
13,63,0.282980304,0.460174699,0.256844998
13,64,0.313989536,0.428546096,0.257464368
13,65,0.308089734,0.416133052,0.275777214
13,66,0.248758125,0.432885105,0.31835677
13,67,0.230746919,0.45048857,0.318764511
14,46,0.664796544,0.187901941,0.147301515
14,47,0.712724766,0.163224705,0.124050529
14,48,0.714578051,0.171682086,0.113739862
14,49,0.612145782,0.221540977,0.166313242
14,50,0.619072166,0.231166156,0.149761679
14,51,0.50636872,0.296521195,0.197110085
14,52,0.281355609,0.405321353,0.313323038
14,53,0.219025673,0.458042731,0.322931596
14,54,0.166169057,0.507023369,0.326807575
14,56,0.101293944,0.556921558,0.341784499
14,57,0.157813719,0.591392001,0.250794281
14,58,0.167812968,0.611566781,0.220620252
14,59,0.170835066,0.602017983,0.227146951
14,60,0.214159257,0.57799627,0.207844474
14,61,0.274142871,0.536369634,0.189487494
14,62,0.307822191,0.503601344,0.188576465
14,63,0.314454021,0.48002968,0.205516299
14,64,0.352083179,0.436488904,0.211427918
14,65,0.341437862,0.414683634,0.243878504
14,66,0.27264544,0.419483328,0.307871232
14,67,0.185619515,0.463169105,0.351211381
14,68,0.212302693,0.482732703,0.304964604
14,69,0.168320188,0.486739488,0.344940324
15,45,0.578660867,0.229744036,0.191595098
15,46,0.558570548,0.236905134,0.204524317
15,47,0.635384989,0.197595392,0.16701962
15,48,0.665099752,0.189985885,0.144914364
15,49,0.564216464,0.231183284,0.204600252
15,50,0.636472686,0.215731497,0.147795817
15,51,0.54588706,0.271018045,0.183094896
15,52,0.323055149,0.394402442,0.282542409
15,53,0.242734632,0.449645262,0.307620106
15,54,0.176609257,0.49478017,0.328610574
15,55,0.150539363,0.525781046,0.323679591
15,57,0.185137115,0.550059041,0.264803845
15,58,0.197808923,0.573016771,0.229174306
15,59,0.188841924,0.58041499,0.230743086
15,60,0.230333651,0.563273209,0.20639314
15,61,0.282042225,0.535505038,0.182452736
15,62,0.319763449,0.504756473,0.175480079
15,63,0.333259647,0.481869686,0.184870667
15,64,0.352435968,0.453524027,0.194040005
15,65,0.369548377,0.421274117,0.209177506
15,66,0.300602599,0.423965979,0.275431422
15,67,0.19929259,0.45340982,0.34729759
15,68,0.222262456,0.492998999,0.284738546
15,69,0.191233966,0.51530949,0.293456544
16,45,0.569319769,0.23704201,0.193638222
16,46,0.342486435,0.310419632,0.347093933
16,47,0.441070461,0.279558866,0.279370674
16,48,0.488380693,0.260962788,0.250656519
16,49,0.420821127,0.271286179,0.307892695
16,50,0.598554028,0.227923019,0.173522954
16,51,0.578251926,0.259651298,0.162096776
16,52,0.297248354,0.397134107,0.30561754
16,53,0.240841951,0.442262078,0.316895971
16,54,0.214351043,0.477866617,0.30778234
16,55,0.176550687,0.500689679,0.322759635
16,57,0.178375971,0.51241437,0.309209659
16,58,0.218975476,0.53044696,0.250577565
16,59,0.210795428,0.548871362,0.24033321
16,60,0.253759785,0.538334438,0.207905777
16,61,0.302065514,0.517367214,0.180567272
16,62,0.338153088,0.490537917,0.171308995
16,63,0.355134281,0.472022655,0.172843064
16,64,0.364638733,0.450984564,0.184376703
16,65,0.3701711,0.433131279,0.196697621
16,66,0.360261575,0.419891334,0.219847091
