Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
9,48,0.350281212,0.156993231,0.492725557
9,49,0.33506343,0.190941765,0.473994805
9,50,0.279011541,0.210247059,0.5107414
9,51,0.270101954,0.218533087,0.511364959
9,52,0.19713372,0.227900826,0.574965455
9,53,0.081726061,0.212844608,0.705429332
9,54,0.066931768,0.209261198,0.723807034
9,55,0.061552842,0.213398959,0.725048199
9,56,0.085135785,0.238299727,0.676564488
9,57,0.11939677,0.262266632,0.618336598
9,58,0.145128239,0.27375869,0.581113071
9,59,0.223838169,0.26944288,0.506718951
9,60,0.286131138,0.254339496,0.459529366
9,61,0.361589684,0.232420188,0.405990128
9,62,0.310573761,0.23664747,0.45277877
9,63,0.215990276,0.271348981,0.512660743
9,64,0.32329208,0.249738689,0.426969231
10,45,0.172112089,0.128302746,0.699585165
10,46,0.328491506,0.09147762,0.580030874
10,47,0.236375941,0.112885119,0.65073894
10,48,0.399472167,0.147511695,0.453016138
10,49,0.331291634,0.180760364,0.487948002
10,50,0.324046831,0.198580479,0.47737269
10,51,0.298661305,0.216734751,0.484603945
10,52,0.222325036,0.237154707,0.540520258
10,53,0.095088678,0.235219901,0.669691421
10,54,0.078386249,0.240589355,0.681024396
10,55,0.06578041,0.252133798,0.682085792
10,56,0.068053411,0.273917285,0.658029304
10,57,0.105235573,0.301768691,0.592995736
10,58,0.152427139,0.303375136,0.544197725
10,60,0.269057315,0.287887489,0.443055196
10,61,0.36478596,0.255196186,0.380017854
10,62,0.37749566,0.248296968,0.374207373
10,63,0.304904953,0.271851842,0.423243205
10,64,0.349405935,0.258229905,0.39236416
11,45,0.162355392,0.136098155,0.701546453
11,46,0.31697351,0.104358447,0.578668044
11,47,0.434053683,0.110523112,0.455423205
11,48,0.435564379,0.145476812,0.41895881
11,49,0.351405101,0.173341645,0.475253254
11,50,0.360274292,0.189373694,0.450352014
11,51,0.347567301,0.217403803,0.435028896
11,52,0.188977276,0.246261844,0.56476088
11,53,0.110470691,0.254060455,0.635468854
11,54,0.097250414,0.267832472,0.634917114
11,55,0.083426613,0.290768382,0.625805005
11,56,0.092040697,0.323930459,0.584028845
11,58,0.212700405,0.337083694,0.450215901
11,60,0.309456997,0.300347288,0.390195716
11,61,0.371945281,0.265862126,0.362192594
11,62,0.414382773,0.239647181,0.345970047
11,63,0.33104337,0.260914288,0.408042342
